id,name,family,form,year,notes,image_url
nc-0001,Nintendo Entertainment System,NES,Home,1985,NES-001,https://storage.googleapis.com/images.pricecharting.com/xw2fqborablpp7lw/1600.jpg
nc-0002,Super Nintendo Entertainment System,SNES,Home,1991,SNS-001,https://storage.googleapis.com/images.pricecharting.com/pd754shvuzcnx3qy/1600.jpg
nc-0003,Virtual Boy,Virtual Boy,Home,1995,Tabletop stereoscopic system,https://storage.googleapis.com/images.pricecharting.com/c710960cc3ed04d26b61684e18600a8ddfed5ea0bd63e36fd061933f74ebb8e8/1600.jpg
nc-0004,Nintendo 64,Nintendo 64,Home,1996,,https://storage.googleapis.com/images.pricecharting.com/05d3c3af98498f882faf610b4c26b0402ef3a8df0ef40efbbfb9a6193c26e949/1600.jpg
nc-0005,GameCube,GameCube,Home,2001,,https://storage.googleapis.com/images.pricecharting.com/af4ef126871fb32f5b2e90940593b4458ae03634c8e0cd39fa74330e3089b774/1600.jpg
nc-0006,Wii,Wii,Home,2006,,https://storage.googleapis.com/images.pricecharting.com/dcb0a73cbe2b2a23332b94b62a5dd544fcc3566d004c790e7a719ce1a9772144/1600.jpg
nc-0007,Wii U,Wii U,Home,2012,,https://storage.googleapis.com/images.pricecharting.com/po7awclrhml7svkv/1600.jpg
nc-0008,Nintendo Switch,Switch,Hybrid,2017,Original Switch model,https://storage.googleapis.com/images.pricecharting.com/cdc9fe31f30790ea02bd764adcbc49f1361943d33b1fa1f55911001e4132cca4/1600.jpg
nc-0009,Nintendo Switch Lite,Switch,Hybrid,2019,Handheld-focused Switch,https://storage.googleapis.com/images.pricecharting.com/corrwjp3ysdhcaxjm7kc/1600.jpg
nc-0010,Nintendo Switch – OLED Model,Switch,Hybrid,2021,OLED revision,https://storage.googleapis.com/images.pricecharting.com/xm4qngluvpnnkglu/1600.jpg
nc-0011,Nintendo Switch 2,Switch 2,Hybrid,2025,,https://storage.googleapis.com/images.pricecharting.com/wnr7mxiqtafn7seh/1600.jpg
nc-0012,Game Boy,Game Boy,Handheld,1989,Original DMG,https://storage.googleapis.com/images.pricecharting.com/v7vmdxvmlcbvdbro/1600.jpg
nc-0013,Game Boy Pocket,Game Boy,Handheld,1996,,https://storage.googleapis.com/images.pricecharting.com/dceacd2f13bab5c2dd1487a101d5bc3ae655938c1e403bf24a08e6ebc3506102/1600.jpg
nc-0014,Game Boy Color,Game Boy,Handheld,1998,,https://storage.googleapis.com/images.pricecharting.com/e518f8f0743a6a52ecacb1ca2e298bc3db98caf5236c829191401e1a2725b6e4/1600.jpg
nc-0015,Game Boy Advance,Game Boy Advance,Handheld,2001,,https://storage.googleapis.com/images.pricecharting.com/40a63d95426a9b3990391bd919ca6fdd70085e126b9b6e815025c9c9c2b1cb65/1600.jpg
nc-0016,Game Boy Advance SP,Game Boy Advance,Handheld,2003,,https://storage.googleapis.com/images.pricecharting.com/p5hrzvw27jp2d2ko/1600.jpg
nc-0017,Game Boy Micro,Game Boy Advance,Handheld,2005,,https://storage.googleapis.com/images.pricecharting.com/e421212cdae074575cf55b6b1acb61b1059302d9426fb4757314a171f3ba2378/1600.jpg
nc-0018,Nintendo DS,Nintendo DS,Handheld,2004,Original DS (phat),https://storage.googleapis.com/images.pricecharting.com/cxv4eyor6kgnbsmx/1600.jpg
nc-0019,Nintendo DS Lite,Nintendo DS,Handheld,2006,,https://storage.googleapis.com/images.pricecharting.com/3b47e3316e37ccc33d354e22bf3927ed5224f11b980dd6efb149c93431d666b9/1600.jpg
nc-0020,Nintendo DSi,Nintendo DS,Handheld,2009,,https://storage.googleapis.com/images.pricecharting.com/3aijqdyfcjil5uzm/1600.jpg
nc-0021,Nintendo DSi XL,Nintendo DS,Handheld,2010,,https://storage.googleapis.com/images.pricecharting.com/39086c4ac95f97f0abceb67b3845d1ab18e791d8c605c95906f6ab17c41eb853/1600.jpg
nc-0022,Nintendo 3DS,Nintendo 3DS,Handheld,2011,,https://storage.googleapis.com/images.pricecharting.com/sjqzkn6arcotu3mz/1600.jpg
nc-0023,Nintendo 3DS XL,Nintendo 3DS,Handheld,2012,,https://storage.googleapis.com/images.pricecharting.com/xt32lctha3qdooib/1600.jpg
nc-0024,Nintendo 2DS,Nintendo 3DS,Handheld,2013,,https://storage.googleapis.com/images.pricecharting.com/4jfteeti5hupbobj/1600.jpg
nc-0025,New Nintendo 3DS,Nintendo 3DS,Handheld,2015,Limited US retail release,https://storage.googleapis.com/images.pricecharting.com/nyhjthk43qp2qfzp/1600.jpg
nc-0026,New Nintendo 3DS XL,Nintendo 3DS,Handheld,2015,,https://storage.googleapis.com/images.pricecharting.com/ig3mq3nh4kxwado3/1600.jpg
nc-0027,New Nintendo 2DS XL,Nintendo 3DS,Handheld,2017,,https://storage.googleapis.com/images.pricecharting.com/6ce20d58cb71faea1871ea9521f9da4f90b39c83cae7b61dc04f39104d966b8e/1600.jpg
