id,title,platform,generation,year,kind,notes,image_url
gm-0001,Pokémon Red,Game Boy,1,1998,Original,US release,https://archives.bulbagarden.net/media/upload/8/80/Red_EN_boxart.png
gm-0002,Pokémon Blue,Game Boy,1,1998,Original,US release,https://archives.bulbagarden.net/media/upload/5/5a/Blue_EN_boxart.png
gm-0003,Pokémon Yellow,Game Boy,1,1999,Original,Special Pikachu Edition,https://archives.bulbagarden.net/media/upload/9/95/Yellow_EN_boxart.png
gm-0004,Pokémon Gold,Game Boy Color,2,2000,Original,,https://archives.bulbagarden.net/media/upload/c/c7/Gold_EN_boxart.png
gm-0005,Pokémon Silver,Game Boy Color,2,2000,Original,,https://archives.bulbagarden.net/media/upload/f/f5/Silver_EN_boxart.png
gm-0006,Pokémon Crystal,Game Boy Color,2,2001,Original,,https://archives.bulbagarden.net/media/upload/6/60/Crystal_EN_boxart.png
gm-0007,Pokémon Ruby,Game Boy Advance,3,2003,Original,,https://archives.bulbagarden.net/media/upload/5/5f/Ruby_EN_boxart.png
gm-0008,Pokémon Sapphire,Game Boy Advance,3,2003,Original,,https://archives.bulbagarden.net/media/upload/6/62/Sapphire_EN_boxart.png
gm-0009,Pokémon FireRed,Game Boy Advance,3,2004,Remake,Remake of Red,https://archives.bulbagarden.net/media/upload/4/43/FireRed_EN_boxart.png
gm-0010,Pokémon LeafGreen,Game Boy Advance,3,2004,Remake,Remake of Blue/Green,https://archives.bulbagarden.net/media/upload/d/d7/LeafGreen_EN_boxart.png
gm-0011,Pokémon Emerald,Game Boy Advance,3,2005,Original,,https://archives.bulbagarden.net/media/upload/6/65/Emerald_EN_boxart.jpg
gm-0012,Pokémon Diamond,Nintendo DS,4,2007,Original,,https://archives.bulbagarden.net/media/upload/6/69/Diamond_EN_boxart.jpg
gm-0013,Pokémon Pearl,Nintendo DS,4,2007,Original,,https://archives.bulbagarden.net/media/upload/a/af/Pearl_EN_boxart.jpg
gm-0014,Pokémon Platinum,Nintendo DS,4,2009,Original,,https://archives.bulbagarden.net/media/upload/8/83/Platinum_EN_boxart.png
gm-0015,Pokémon HeartGold,Nintendo DS,4,2010,Remake,Remake of Gold,https://archives.bulbagarden.net/media/upload/6/6e/HeartGold_EN_boxart.jpg
